name,price,socket,form_factor,max_memory,memory_slots,color
MSI B650 GAMING PLUS WIFI,169.99,AM5,ATX,192,4,Black
Asus ROG STRIX B650-A GAMING WIFI,199.99,AM5,ATX,192,4,Black / Silver
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,ATX,192,4,Black / Silver
MSI PRO Z790-A MAX WIFI,239.99,LGA1700,ATX,192,4,Silver / Black
MSI B550 GAMING GEN3,99.99,AM4,ATX,128,4,Black
MSI MAG B650 TOMAHAWK WIFI,199.99,AM5,ATX,192,4,Black
Gigabyte B650 GAMING X AX,179.99,AM5,ATX,192,4,Black / Gray
Asus TUF GAMING Z790-PRO WIFI,279.99,LGA1700,ATX,192,4,Black
MSI MAG X670E TOMAHAWK WIFI,259.99,AM5,ATX,192,4,Black
MSI PRO Z790-P WIFI,199.99,LGA1700,ATX,192,4,Black / Silver
MSI MAG B550 TOMAHAWK MAX WIFI,159.99,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX B550-F GAMING WIFI II,189.99,AM4,ATX,128,4,Black / Red
MSI PRO B650-S WIFI,139.99,AM5,ATX,192,4,Black
Gigabyte B650 EAGLE AX,169.99,AM5,ATX,192,4,Gray / Black
Asus ROG STRIX B650E-F GAMING WIFI,259.99,AM5,ATX,192,4,Black
Gigabyte B650 AORUS ELITE AX ICE,229.99,AM5,ATX,192,4,Silver
Asus ROG MAXIMUS Z790 DARK HERO,579.99,LGA1700,ATX,192,4,Black
Gigabyte B650 AORUS ELITE AX,199.99,AM5,ATX,192,4,Black / Silver
Asus PRIME B760-PLUS,129.99,LGA1700,ATX,192,4,Black / Silver
MSI MAG Z790 TOMAHAWK WIFI,209.99,LGA1700,ATX,192,4,Black
Gigabyte X670E AORUS PRO X,299.99,AM5,ATX,192,4,White / Silver
Asus ROG STRIX Z790-A GAMING WIFI II,335.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte Z790 AORUS ELITE AX,219.99,LGA1700,ATX,192,4,Black
MSI PRO B760-P WIFI DDR4,139.99,LGA1700,ATX,128,4,Black
Asus TUF GAMING B650-PLUS WIFI,199.99,AM5,ATX,128,4,Black
Gigabyte B550 UD AC,99.99,AM4,ATX,128,4,Brown / Black
Asus ROG STRIX Z790-E GAMING WIFI II,427.99,LGA1700,ATX,192,4,Black
MSI B550-A PRO,109.99,AM4,ATX,128,4,Black / Silver
MSI PRO Z690-A WIFI,149.99,LGA1700,ATX,192,4,Black / Silver
Asus TUF GAMING B550-PLUS WIFI II,134.0,AM4,ATX,128,4,Black / Gray
MSI PRO B650-P WIFI,162.99,AM5,ATX,192,4,Black
Asus ROG STRIX B550-A GAMING,171.99,AM4,ATX,128,4,Black / White
Gigabyte B650 GAMING X AX V2,184.99,AM5,ATX,192,4,Gray / Black
Asus ROG STRIX X670E-E GAMING WIFI,449.99,AM5,ATX,192,4,Black / Silver
Asus ROG MAXIMUS Z790 FORMULA,749.99,LGA1700,ATX,192,4,Silver / Black
NZXT N7 B650E,279.99,AM5,ATX,128,4,White
MSI MPG B550 GAMING PLUS,131.0,AM4,ATX,128,4,Black
Gigabyte B550 AORUS ELITE AX V2,139.99,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING X570-PLUS (WI-FI),193.99,AM4,ATX,128,4,Black / Gold
Asus TUF GAMING X670E-PLUS WIFI,269.99,AM5,ATX,192,4,Black / Orange
Gigabyte B550 GAMING X V2,92.99,AM4,ATX,128,4,Black
MSI X670E GAMING PLUS WIFI,229.99,AM5,ATX,192,4,Silver / Black
Gigabyte Z790 AORUS PRO X,349.99,LGA1700,ATX,192,4,Silver
MSI MAG B550 TOMAHAWK,139.99,AM4,ATX,128,4,Black / Silver
Gigabyte B650 AORUS ELITE AX V2,187.79,AM5,ATX,192,4,Black / Silver
MSI B450 Gaming Plus MAX,74.98,AM4,ATX,128,4,Red / Black
ASRock B650 Steel Legend WiFi,179.99,AM5,ATX,192,4,White / Silver
Asus ROG STRIX Z690-E GAMING WIFI,230.99,LGA1700,ATX,192,4,Black
Asus PRIME X670-P WIFI,209.99,AM5,ATX,192,4,Silver / Black
Asus ROG CROSSHAIR X670E HERO,639.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX Z790-E GAMING WIFI,359.99,LGA1700,ATX,192,4,Black
MSI MAG B760 TOMAHAWK WIFI,179.99,LGA1700,ATX,192,4,Black
Asus TUF GAMING Z790-PLUS WIFI,229.99,LGA1700,ATX,192,4,Black / Gray
ASRock X670E Steel Legend,259.99,AM5,ATX,192,4,Black / White
Gigabyte Z790 AORUS ELITE X WIFI7,279.99,LGA1700,ATX,192,4,Black
Asus PRIME Z790-P WIFI,189.99,LGA1700,ATX,192,4,Black / Silver
NZXT N7 B650E,249.99,AM5,ATX,128,4,Black
Asus ProArt X670E-CREATOR WIFI,424.99,AM5,ATX,192,4,Black / Copper
Gigabyte X670 AORUS ELITE AX (rev. 1.0),269.99,AM5,ATX,192,4,Black
MSI MPG Z790 EDGE TI MAX WIFI,299.99,LGA1700,ATX,192,4,Silver / Black
ASRock B650E PG RIPTIDE WIFI,189.99,AM5,ATX,192,4,Black / Blue
ASRock Z690 Extreme,129.99,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z790 EAGLE AX,183.94,LGA1700,ATX,192,4,Gray / Black
Gigabyte B650E AORUS ELITE X AX ICE,249.99,AM5,ATX,192,4,Silver / White
Asus ROG STRIX B650E-E GAMING WIFI,331.14,AM5,ATX,192,4,Black
Gigabyte B760 GAMING X AX,169.99,LGA1700,ATX,192,4,Black / Gray
Asus ROG STRIX B550-F GAMING,158.99,AM4,ATX,128,4,Black
ASRock B550 Phantom Gaming 4/ac,89.99,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX X670E-F GAMING WIFI,349.99,AM5,ATX,192,4,Black / Silver
Asus ProArt Z790-CREATOR WIFI,439.99,LGA1700,ATX,192,4,Black / Copper
Asus PRIME B650-PLUS,164.99,AM5,ATX,192,4,Black / Silver
NZXT N7 Z790,296.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX B760-A GAMING WIFI,209.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte X670 GAMING X AX V2,209.99,AM5,ATX,192,4,Black / Gray
Asus ROG STRIX Z790-H GAMING WIFI,249.99,LGA1700,ATX,192,4,Black
MSI Z790 GAMING PLUS WIFI,199.99,LGA1700,ATX,192,4,Black
ASRock Z690 Pro RS,119.99,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX Z790-F GAMING WIFI II,409.99,LGA1700,ATX,192,4,Black
MSI PRO Z790-S WIFI,169.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-A GAMING WIFI,334.99,AM5,ATX,192,4,Silver / Black
Asus ROG STRIX Z790-A GAMING WIFI D4,219.99,LGA1700,ATX,128,4,Black / Silver
