name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black
Corsair RM850e (2023),119.99,ATX,gold,850,Full,Black
Corsair RM1000e (2023),159.99,ATX,gold,1000,Full,Black
Corsair RM650 (2023),89.99,ATX,gold,650,Full,Black
MSI MAG A650BN,59.0,ATX,bronze,650,false,Black
MSI MAG A850GL PCIE5,89.99,ATX,gold,850,Full,Black
Corsair CX650M (2021),79.99,ATX,bronze,650,Semi,Black
MSI MAG A550BN,49.0,ATX,bronze,550,false,Black
Corsair RM850,124.99,ATX,gold,850,Full,White / Black
Corsair RM850x (2021),149.99,ATX,gold,850,Full,Black
Cooler Master MWE Gold 850 - V2,89.99,ATX,gold,850,Full,Black
Corsair RM1000x (2021),159.99,ATX,gold,1000,Full,Black
MSI MAG A750GL PCIE5,89.0,ATX,gold,750,Full,Black
MSI MAG A650GL,79.98,ATX,gold,650,Full,Black
SeaSonic FOCUS GX,74.99,ATX,gold,750,Full,Black
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
Corsair RM750,109.99,ATX,gold,750,Full,White / Black
be quiet! Pure Power 12 M,89.9,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,99.9,ATX,gold,850,Full,Black
Gigabyte UD750GM,92.12,ATX,gold,750,Full,Black
Corsair RM750x (2021),99.99,ATX,gold,750,Full,Black
Corsair CX750M (2021),89.95,ATX,bronze,750,Semi,Black
Thermaltake Toughpower GF A3 Snow,119.99,ATX,gold,850,Full,White
MSI A1000G PCIE5,157.99,ATX,gold,1000,Full,Black
Corsair CX (2023),74.98,ATX,bronze,750,false,Black
Corsair CX (2023),64.98,ATX,bronze,650,false,Black
be quiet! Dark Power 13,229.9,ATX,titanium,1000,Full,Black
EVGA 650 B5,74.99,ATX,bronze,650,Full,Black
Corsair RMe (2023),169.99,ATX,gold,1200,Full,Black
SeaSonic FOCUS GX-1000 ATX 3.0,139.99,ATX,gold,1000,Full,Black
NZXT C850 (2022),99.99,ATX,gold,850,Full,Black
Corsair CX (2023),59.99,ATX,bronze,550,false,Black
Thermaltake Toughpower GF1 (2024),94.99,ATX,gold,850,Full,Black
MSI MPG A850G PCIE5,127.88,ATX,gold,850,Full,Black
Corsair HX1000i (2023),214.99,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1000 GT,139.99,ATX,gold,1000,Full,Black
Asus ROG THOR P2 Gaming,299.99,ATX,platinum,1200,Full,Silver / Black
SeaSonic FOCUS GX-850 ATX 3.0,109.99,ATX,gold,850,Full,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,137.33,ATX,gold,750,Full,Black
ADATA XPG CORE Reactor 850,94.99,ATX,gold,850,Full,Black
Asus ROG Strix,168.99,ATX,gold,850,Full,White
be quiet! Straight Power 12,199.9,ATX,platinum,1200,Full,Black
NZXT C750 (2022),89.99,ATX,gold,750,Full,Black
Gigabyte UD850GM,99.99,ATX,gold,850,Full,Black
SeaSonic FOCUS GX-750 ATX 3.0,89.99,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,129.9,ATX,gold,1000,Full,Black
MSI MPG A750GF,93.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF3 Snow,179.99,ATX,gold,1200,Full,White
Deepcool PM750D,88.02,ATX,gold,750,false,Black
EVGA SuperNOVA 850 GT,124.99,ATX,gold,850,Full,Black
be quiet! Pure Power 12 M,79.9,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 GT,114.39,ATX,gold,750,Full,Black
EVGA 650BP,54.99,ATX,bronze,650,false,Black
SeaSonic FOCUS GX,129.1,ATX,gold,650,Full,Black
MSI MAG A850GL PCIE5,113.64,ATX,gold,850,Full,White
ADATA XPG Core Reactor II,99.99,ATX,gold,850,Full,Black
be quiet! Straight Power 12,189.9,ATX,platinum,1000,Full,Black
be quiet! Dark Power 13,189.9,ATX,titanium,850,Full,Black
EVGA SuperNOVA 650 GT,94.99,ATX,gold,650,Full,Black
Deepcool PX1000G,129.99,ATX,gold,1000,Full,Black
NZXT C1200,183.1,ATX,gold,1200,Full,Black
Asus ROG STRIX 1000G,172.99,ATX,gold,1000,Full,Black
SeaSonic PRIME TX-1000,449.99,ATX,titanium,1000,Full,Black
NZXT C1000 (2022),149.97,ATX,gold,1000,Full,Black
Asus TUF Gaming 1000G,149.99,ATX,gold,1000,Full,Black
Super Flower Leadex Platinum SE,144.99,ATX,platinum,1000,Full,White
Asus TUF Gaming 850G,139.99,ATX,gold,850,Full,Black
Asus Prime AP-750G,109.99,ATX,gold,750,Full,White / Black
ADATA XPG CORE Reactor 750,89.99,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,99.99,ATX,gold,750,Full,Black
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
MSI MAG A750BN PCIE5,84.0,ATX,bronze,750,false,Black
EVGA SuperNOVA 850 P5,119.99,ATX,platinum,850,Full,Black / Teal
Thermaltake Smart BM3,79.98,ATX,bronze,850,Semi,Black
Gigabyte UD1000GM,129.99,ATX,gold,1000,Full,Black
Corsair RM750 (2019),210.09,ATX,gold,750,Full,Black
Corsair RM1200x SHIFT,205.99,ATX,gold,1200,Full / Side,Black
SeaSonic FOCUS GX,129.99,ATX,gold,1000,Full,Black
Corsair RM1000x SHIFT,188.14,ATX,gold,1000,Full / Side,White
Gigabyte UD1000GM PG5 (rev. 2.0),114.99,ATX,gold,1000,Full,Black
Asus ROG THOR P2 Gaming,199.99,ATX,platinum,850,Full,Black / Silver
SeaSonic FOCUS GX,94.99,ATX,gold,850,Full,Black
Corsair RM850x SHIFT,144.99,ATX,gold,850,Full / Side,Black
ADATA XPG Core Reactor II,104.99,ATX,gold,850,Full,White
be quiet! Straight Power 12,159.9,ATX,platinum,850,Full,Black
SeaSonic FOCUS Plus Gold,129.99,ATX,gold,1000,Full,Black
Deepcool PM850D,84.99,ATX,gold,850,false,Black
