name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram
Corsair Vengeance LPX 16 GB,38.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance 32 GB,113.99,5600,12.857,36.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 32 GB,117.99,6000,12.0,36.0,2.0,16.0,5,32.0
Corsair Vengeance 32 GB,114.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro 32 GB,94.99,3600,10.0,18.0,2.0,16.0,4,32.0
G.Skill Trident Z5 RGB 64 GB,217.99,6400,10.0,32.0,2.0,32.0,5,64.0
Corsair Vengeance LPX 32 GB,69.98,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance RGB 32 GB,127.99,6000,12.0,36.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,106.99,6000,10.0,30.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,106.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro 16 GB,55.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance 16 GB,74.98,5200,15.385,40.0,2.0,8.0,5,16.0
G.Skill Flare X5 32 GB,102.99,6000,12.0,36.0,2.0,16.0,5,32.0
G.Skill Trident Z5 Neo RGB 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0
Silicon Power GAMING 16 GB,32.97,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance 64 GB,159.99,5200,15.385,40.0,2.0,32.0,5,64.0
G.Skill Ripjaws V 16 GB,3914.75,4800,7.083,17.0,2.0,8.0,4,16.0
G.Skill Flare X5 32 GB,104.99,6000,10.0,30.0,2.0,16.0,5,32.0
TEAMGROUP T-Create Expert 32 GB,97.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 16 GB,37.0,3200,10.0,16.0,2.0,8.0,4,16.0
TEAMGROUP T-Force Vulcan Z 16 GB,32.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance RGB 32 GB,134.99,6000,13.333,40.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 32 GB,109.99,6000,12.0,36.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 16 GB,49.99,3600,10.0,18.0,2.0,8.0,4,16.0
G.Skill Ripjaws V 32 GB,66.98,3200,10.0,16.0,2.0,16.0,4,32.0
Corsair Dominator Titanium 64 GB,309.99,6600,9.697,32.0,2.0,32.0,5,64.0
G.Skill Flare X5 32 GB,96.99,6000,10.667,32.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 32 GB,66.98,3200,10.0,16.0,2.0,16.0,4,32.0
Corsair Vengeance 32 GB,94.99,5200,15.385,40.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 32 GB,109.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance RGB 64 GB,224.99,6000,10.0,30.0,2.0,32.0,5,64.0
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance RGB Pro SL 32 GB,82.99,3600,10.0,18.0,2.0,16.0,4,32.0
TEAMGROUP T-Force Vulcan Z 32 GB,52.75,3200,10.0,16.0,2.0,16.0,4,32.0
Silicon Power Value Gaming 32 GB,94.97,6000,10.0,30.0,2.0,16.0,5,32.0
Silicon Power GAMING 32 GB,51.49,3200,10.0,16.0,2.0,16.0,4,32.0
G.Skill Trident Z5 Neo 64 GB,209.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 32 GB,124.99,6000,10.0,30.0,2.0,16.0,5,32.0
Kingston FURY Beast 16 GB,49.19,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z5 RGB 32 GB,132.99,7200,9.444,34.0,2.0,16.0,5,32.0
Corsair Vengeance LPX 64 GB,129.99,3200,10.0,16.0,2.0,32.0,4,64.0
TEAMGROUP T-Force Delta RGB 32 GB,69.98,3600,10.0,18.0,2.0,16.0,4,32.0
Kingston FURY Beast 32 GB,119.99,6000,12.0,36.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro 16 GB,62.99,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z5 RGB 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0
Corsair Dominator Titanium 64 GB,309.99,6600,9.697,32.0,2.0,32.0,5,64.0
G.Skill Trident Z RGB 32 GB,84.99,3200,10.0,16.0,2.0,16.0,4,32.0
G.Skill Trident Z5 RGB 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0
Corsair Vengeance 64 GB,219.99,6400,10.0,32.0,2.0,32.0,5,64.0
Corsair Vengeance 32 GB,104.99,6000,12.0,36.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 16 GB,47.99,3600,10.0,18.0,2.0,8.0,4,16.0
TEAMGROUP T-Force Vulcan 32 GB,102.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 16 GB,43.99,3600,8.889,16.0,2.0,8.0,4,16.0
G.Skill Trident Z5 RGB 48 GB,399.99,8400,9.524,40.0,2.0,24.0,5,48.0
Corsair Vengeance RGB 32 GB,109.99,5200,15.385,40.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 16 GB,47.99,3600,10.0,18.0,2.0,8.0,4,16.0
G.Skill Flare X5 64 GB,199.99,6000,10.0,30.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 64 GB,229.99,6000,10.0,30.0,2.0,32.0,5,64.0
Kingston FURY Beast 16 GB,71.98,6000,13.333,40.0,2.0,8.0,5,16.0
Silicon Power SP032GBLVU560FD2AD 32 GB,75.97,5600,16.429,46.0,2.0,16.0,5,32.0
TEAMGROUP T-Create Classic 32 GB,83.99,5600,16.429,46.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 32 GB,79.98,3600,8.889,16.0,2.0,16.0,4,32.0
Kingston FURY Beast RGB 32 GB,127.99,6000,12.0,36.0,2.0,16.0,5,32.0
G.Skill Trident Z 32 GB,754.94,6000,13.333,40.0,2.0,16.0,5,32.0
TEAMGROUP T-Create Expert 32 GB,97.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance 32 GB,114.99,6000,12.0,36.0,2.0,16.0,5,32.0
Crucial Pro 32 GB,59.99,3200,13.75,22.0,2.0,16.0,4,32.0
G.Skill Trident Z RGB 16 GB,55.98,3600,10.0,18.0,2.0,8.0,4,16.0
Kingston FURY Beast 32 GB,74.98,3200,10.0,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Force Delta RGB 32 GB,69.98,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Dominator Platinum RGB 32 GB,174.99,6200,11.613,36.0,2.0,16.0,5,32.0
Crucial CT2K8G48C40U5 16 GB,54.99,4800,16.667,40.0,2.0,8.0,5,16.0
TEAMGROUP T-Create Expert 32 GB,94.99,6400,10.0,32.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 32 GB,98.99,6000,12.0,36.0,2.0,16.0,5,32.0
Crucial Pro Overclocking 32 GB,104.99,6000,12.0,36.0,2.0,16.0,5,32.0
G.Skill Trident Z5 Neo RGB 64 GB,214.99,6000,10.0,30.0,2.0,32.0,5,64.0
Crucial Pro 64 GB,159.19,5600,16.429,46.0,2.0,32.0,5,64.0
Corsair Vengeance 32 GB,117.99,6400,10.0,32.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Vulcan 32 GB,91.99,6000,12.667,38.0,2.0,16.0,5,32.0
ADATA XPG Lancer Blade 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0
Lexar THOR OC 32 GB,104.99,6000,10.667,32.0,2.0,16.0,5,32.0
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,6000,10.0,30.0,2.0,16.0,5,32.0
Patriot Viper Venom 16 GB,61.99,5200,13.846,36.0,2.0,8.0,5,16.0
Corsair Vengeance 64 GB,217.99,6000,10.0,30.0,2.0,32.0,5,64.0
TEAMGROUP Vulcan Z 16 GB,37.99,3600,10.0,18.0,2.0,8.0,4,16.0
Corsair Vengeance RGB 32 GB,124.99,6400,10.0,32.0,2.0,16.0,5,32.0
Corsair Vengeance RGB Pro 32 GB,89.99,3200,10.0,16.0,2.0,16.0,4,32.0
Corsair Dominator Titanium 32 GB,167.99,6000,10.0,30.0,2.0,16.0,5,32.0
Silicon Power XPOWER Turbine 16 GB,32.97,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance LPX 8 GB,24.99,2400,13.333,16.0,1.0,8.0,4,8.0
Crucial Pro 32 GB,103.87,5600,16.429,46.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 64 GB,217.99,6400,10.0,32.0,2.0,32.0,5,64.0
Kingston FURY Beast 8 GB,23.98,3200,10.0,16.0,1.0,8.0,4,8.0
Corsair Vengeance LPX 16 GB,44.99,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z Neo 32 GB,89.99,3600,8.889,16.0,2.0,16.0,4,32.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,6400,12.5,40.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 32 GB,109.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 32 GB,105.99,5600,10.0,28.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,104.99,6000,12.667,38.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 64 GB,197.99,6000,10.0,30.0,2.0,32.0,5,64.0
Crucial CT16G48C40U5 16 GB,44.0,4800,16.667,40.0,1.0,16.0,5,16.0
G.Skill Aegis 16 GB,42.68,3200,10.0,16.0,2.0,8.0,4,16.0
Lexar Ares RGB 32 GB,114.99,6400,10.0,32.0,2.0,16.0,5,32.0
Corsair Vengeance 64 GB,247.99,6800,9.412,32.0,2.0,32.0,5,64.0
TEAMGROUP T-Create Classic 32 GB,87.99,6000,16.0,48.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,6400,12.5,40.0,2.0,16.0,5,32.0
G.Skill Trident Z RGB 64 GB,139.99,3600,10.0,18.0,2.0,32.0,4,64.0
Corsair Vengeance RGB Pro 32 GB,92.99,3200,10.0,16.0,2.0,16.0,4,32.0
Corsair Dominator Platinum RGB 32 GB,174.99,6200,11.613,36.0,2.0,16.0,5,32.0
G.Skill Ripjaws V 64 GB,3772.97,3400,9.412,16.0,4.0,16.0,4,64.0
Corsair Vengeance LPX 16 GB,45.99,3200,10.0,16.0,2.0,8.0,4,16.0
G.Skill Trident Z5 Neo 32 GB,116.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 64 GB,259.99,6800,10.0,34.0,2.0,32.0,5,64.0
Kingston FURY Beast 16 GB,75.99,6000,12.0,36.0,2.0,8.0,5,16.0
