name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram,speed_to_price,total_ram_to_price
Corsair Vengeance LPX 16 GB,38.99,3200,10.0,16.0,2.0,8.0,4,16.0,82.0723262374968,0.4103616311874839
Corsair Vengeance 32 GB,113.99,5600,12.857,36.0,2.0,16.0,5,32.0,49.1271164137205,0.2807263795069743
G.Skill Trident Z5 RGB 32 GB,117.99,6000,12.0,36.0,2.0,16.0,5,32.0,50.85176709890669,0.27120942452750235
Corsair Vengeance 32 GB,114.99,6000,10.0,30.0,2.0,16.0,5,32.0,52.17845030002609,0.2782850682668058
Corsair Vengeance RGB Pro 32 GB,94.99,3600,10.0,18.0,2.0,16.0,4,32.0,37.89872618170334,0.33687756605958524
G.Skill Trident Z5 RGB 64 GB,217.99,6400,10.0,32.0,2.0,32.0,5,64.0,29.359144914904352,0.2935914491490435
Corsair Vengeance LPX 32 GB,69.98,3600,10.0,18.0,2.0,16.0,4,32.0,51.44326950557302,0.4572735067162046
Corsair Vengeance RGB 32 GB,127.99,6000,12.0,36.0,2.0,16.0,5,32.0,46.87866239549965,0.25001953277599814
TEAMGROUP T-Force Delta RGB 32 GB,106.99,6000,10.0,30.0,2.0,16.0,5,32.0,56.080007477334334,0.2990933732124498
TEAMGROUP T-Force Delta RGB 32 GB,106.99,6000,10.0,30.0,2.0,16.0,5,32.0,56.080007477334334,0.2990933732124498
Corsair Vengeance RGB Pro 16 GB,55.99,3200,10.0,16.0,2.0,8.0,4,16.0,57.15306304697267,0.28576531523486337
Corsair Vengeance 16 GB,74.98,5200,15.385,40.0,2.0,8.0,5,16.0,69.3518271539077,0.2133902373966391
G.Skill Flare X5 32 GB,102.99,6000,12.0,36.0,2.0,16.0,5,32.0,58.25808330905914,0.31070977764831537
G.Skill Trident Z5 Neo RGB 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0,53.10204442871051,0.2832109036197894
Silicon Power GAMING 16 GB,32.97,3200,10.0,16.0,2.0,8.0,4,16.0,97.05793145283592,0.48528965726417955
Corsair Vengeance 64 GB,159.99,5200,15.385,40.0,2.0,32.0,5,64.0,32.50203137696106,0.4000250015625976
G.Skill Ripjaws V 16 GB,3914.75,4800,7.083,17.0,2.0,8.0,4,16.0,1.226131936905294,0.0040871064563509805
G.Skill Flare X5 32 GB,104.99,6000,10.0,30.0,2.0,16.0,5,32.0,57.14829983807982,0.304790932469759
TEAMGROUP T-Create Expert 32 GB,97.99,6000,10.0,30.0,2.0,16.0,5,32.0,61.23073783039086,0.3265639350954179
G.Skill Ripjaws V 16 GB,37.0,3200,10.0,16.0,2.0,8.0,4,16.0,86.48648648648648,0.43243243243243246
TEAMGROUP T-Force Vulcan Z 16 GB,32.99,3200,10.0,16.0,2.0,8.0,4,16.0,96.9990906335253,0.48499545316762654
Corsair Vengeance RGB 32 GB,134.99,6000,13.333,40.0,2.0,16.0,5,32.0,44.44773686939773,0.2370545966367879
Corsair Vengeance RGB 32 GB,109.99,6000,12.0,36.0,2.0,16.0,5,32.0,54.55041367397036,0.29093553959450863
Corsair Vengeance LPX 16 GB,49.99,3600,10.0,18.0,2.0,8.0,4,16.0,72.01440288057611,0.3200640128025605
G.Skill Ripjaws V 32 GB,66.98,3200,10.0,16.0,2.0,16.0,4,32.0,47.775455359808895,0.47775455359808894
Corsair Dominator Titanium 64 GB,309.99,6600,9.697,32.0,2.0,32.0,5,64.0,21.291009387399594,0.2064582728475112
G.Skill Flare X5 32 GB,96.99,6000,10.667,32.0,2.0,16.0,5,32.0,61.86204763377668,0.32993092071347563
Corsair Vengeance LPX 32 GB,66.98,3200,10.0,16.0,2.0,16.0,4,32.0,47.775455359808895,0.47775455359808894
Corsair Vengeance 32 GB,94.99,5200,15.385,40.0,2.0,16.0,5,32.0,54.7426044846826,0.33687756605958524
G.Skill Ripjaws S5 32 GB,109.99,6000,10.0,30.0,2.0,16.0,5,32.0,54.55041367397036,0.29093553959450863
Corsair Vengeance RGB 64 GB,224.99,6000,10.0,30.0,2.0,32.0,5,64.0,26.66785190452909,0.2844570869816436
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,3600,10.0,18.0,2.0,16.0,4,32.0,62.07966890843249,0.5518192791860665
Corsair Vengeance RGB Pro SL 32 GB,82.99,3600,10.0,18.0,2.0,16.0,4,32.0,43.37872032775034,0.3855886251355585
TEAMGROUP T-Force Vulcan Z 32 GB,52.75,3200,10.0,16.0,2.0,16.0,4,32.0,60.66350710900474,0.6066350710900474
Silicon Power Value Gaming 32 GB,94.97,6000,10.0,30.0,2.0,16.0,5,32.0,63.17784563546383,0.3369485100558071
Silicon Power GAMING 32 GB,51.49,3200,10.0,16.0,2.0,16.0,4,32.0,62.147989900951636,0.6214798990095164
G.Skill Trident Z5 Neo 64 GB,209.99,6000,10.0,30.0,2.0,32.0,5,64.0,28.572789180437162,0.3047764179246631
Corsair Vengeance RGB 32 GB,124.99,6000,10.0,30.0,2.0,16.0,5,32.0,48.00384030722458,0.2560204816385311
Kingston FURY Beast 16 GB,49.19,3200,10.0,16.0,2.0,8.0,4,16.0,65.05387273836146,0.3252693636918073
G.Skill Trident Z5 RGB 32 GB,132.99,7200,9.444,34.0,2.0,16.0,5,32.0,54.13940897811865,0.2406195954583051
Corsair Vengeance LPX 64 GB,129.99,3200,10.0,16.0,2.0,32.0,4,64.0,24.617278252173243,0.49234556504346483
TEAMGROUP T-Force Delta RGB 32 GB,69.98,3600,10.0,18.0,2.0,16.0,4,32.0,51.44326950557302,0.4572735067162046
Kingston FURY Beast 32 GB,119.99,6000,12.0,36.0,2.0,16.0,5,32.0,50.00416701391783,0.2666888907408951
Corsair Vengeance RGB Pro 16 GB,62.99,3200,10.0,16.0,2.0,8.0,4,16.0,50.801714557866326,0.25400857278933164
G.Skill Trident Z5 RGB 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0,58.187107918901724,0.29093553959450863
Corsair Dominator Titanium 64 GB,309.99,6600,9.697,32.0,2.0,32.0,5,64.0,21.291009387399594,0.2064582728475112
G.Skill Trident Z RGB 32 GB,84.99,3200,10.0,16.0,2.0,16.0,4,32.0,37.65148841040123,0.37651488410401224
G.Skill Trident Z5 RGB 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0,58.187107918901724,0.29093553959450863
Corsair Vengeance 64 GB,219.99,6400,10.0,32.0,2.0,32.0,5,64.0,29.092231465066593,0.2909223146506659
Corsair Vengeance 32 GB,104.99,6000,12.0,36.0,2.0,16.0,5,32.0,57.14829983807982,0.304790932469759
TEAMGROUP T-Force Delta RGB 16 GB,47.99,3600,10.0,18.0,2.0,8.0,4,16.0,75.01562825588664,0.3334027922483851
TEAMGROUP T-Force Vulcan 32 GB,102.99,6000,10.0,30.0,2.0,16.0,5,32.0,58.25808330905914,0.31070977764831537
G.Skill Ripjaws V 16 GB,43.99,3600,8.889,16.0,2.0,8.0,4,16.0,81.83678108661059,0.36371902705160264
G.Skill Trident Z5 RGB 48 GB,399.99,8400,9.524,40.0,2.0,24.0,5,48.0,21.000525013125326,0.12000300007500188
Corsair Vengeance RGB 32 GB,109.99,5200,15.385,40.0,2.0,16.0,5,32.0,47.27702518410765,0.29093553959450863
TEAMGROUP T-Force Delta RGB 16 GB,47.99,3600,10.0,18.0,2.0,8.0,4,16.0,75.01562825588664,0.3334027922483851
G.Skill Flare X5 64 GB,199.99,6000,10.0,30.0,2.0,32.0,5,64.0,30.001500075003747,0.32001600080004
Corsair Vengeance RGB 64 GB,229.99,6000,10.0,30.0,2.0,32.0,5,64.0,26.088090786555938,0.27827296838993
Kingston FURY Beast 16 GB,71.98,6000,13.333,40.0,2.0,8.0,5,16.0,83.35648791330925,0.22228396776882467
Silicon Power SP032GBLVU560FD2AD 32 GB,75.97,5600,16.429,46.0,2.0,16.0,5,32.0,73.71330788469133,0.42121890219823616
TEAMGROUP T-Create Classic 32 GB,83.99,5600,16.429,46.0,2.0,16.0,5,32.0,66.67460411953805,0.38099773782593166
G.Skill Ripjaws V 32 GB,79.98,3600,8.889,16.0,2.0,16.0,4,32.0,45.0112528132033,0.4001000250062515
Kingston FURY Beast RGB 32 GB,127.99,6000,12.0,36.0,2.0,16.0,5,32.0,46.87866239549965,0.25001953277599814
G.Skill Trident Z 32 GB,754.94,6000,13.333,40.0,2.0,16.0,5,32.0,7.947651468990912,0.04238747450128487
TEAMGROUP T-Create Expert 32 GB,97.99,6000,10.0,30.0,2.0,16.0,5,32.0,61.23073783039086,0.3265639350954179
Corsair Vengeance 32 GB,114.99,6000,12.0,36.0,2.0,16.0,5,32.0,52.17845030002609,0.2782850682668058
Crucial Pro 32 GB,59.99,3200,13.75,22.0,2.0,16.0,4,32.0,53.34222370395066,0.5334222370395065
G.Skill Trident Z RGB 16 GB,55.98,3600,10.0,18.0,2.0,8.0,4,16.0,64.30868167202573,0.28581636298678104
Kingston FURY Beast 32 GB,74.98,3200,10.0,16.0,2.0,16.0,4,32.0,42.678047479327816,0.4267804747932782
TEAMGROUP T-Force Delta RGB 32 GB,69.98,3600,10.0,18.0,2.0,16.0,4,32.0,51.44326950557302,0.4572735067162046
Corsair Dominator Platinum RGB 32 GB,174.99,6200,11.613,36.0,2.0,16.0,5,32.0,35.430596034059086,0.18286759243385337
Crucial CT2K8G48C40U5 16 GB,54.99,4800,16.667,40.0,2.0,8.0,5,16.0,87.28859792689579,0.29096199308965265
TEAMGROUP T-Create Expert 32 GB,94.99,6400,10.0,32.0,2.0,16.0,5,32.0,67.37551321191705,0.33687756605958524
G.Skill Ripjaws S5 32 GB,98.99,6000,12.0,36.0,2.0,16.0,5,32.0,60.61218304879281,0.3232649762602283
Crucial Pro Overclocking 32 GB,104.99,6000,12.0,36.0,2.0,16.0,5,32.0,57.14829983807982,0.304790932469759
G.Skill Trident Z5 Neo RGB 64 GB,214.99,6000,10.0,30.0,2.0,32.0,5,64.0,27.90827480347923,0.2976882645704451
Crucial Pro 64 GB,159.19,5600,16.429,46.0,2.0,32.0,5,64.0,35.178089075946986,0.4020353037251084
Corsair Vengeance 32 GB,117.99,6400,10.0,32.0,2.0,16.0,5,32.0,54.24188490550047,0.27120942452750235
TEAMGROUP T-Force Vulcan 32 GB,91.99,6000,12.667,38.0,2.0,16.0,5,32.0,65.22448092183933,0.3478638982498098
ADATA XPG Lancer Blade 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0,53.10204442871051,0.2832109036197894
Lexar THOR OC 32 GB,104.99,6000,10.667,32.0,2.0,16.0,5,32.0,57.14829983807982,0.304790932469759
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,6000,10.0,30.0,2.0,16.0,5,32.0,68.97344522358893,0.3678583745258076
Patriot Viper Venom 16 GB,61.99,5200,13.846,36.0,2.0,8.0,5,16.0,83.8844974995967,0.25810614615260524
Corsair Vengeance 64 GB,217.99,6000,10.0,30.0,2.0,32.0,5,64.0,27.52419835772283,0.2935914491490435
TEAMGROUP Vulcan Z 16 GB,37.99,3600,10.0,18.0,2.0,8.0,4,16.0,94.76177941563569,0.42116346406949196
Corsair Vengeance RGB 32 GB,124.99,6400,10.0,32.0,2.0,16.0,5,32.0,51.20409632770622,0.2560204816385311
Corsair Vengeance RGB Pro 32 GB,89.99,3200,10.0,16.0,2.0,16.0,4,32.0,35.55950661184576,0.35559506611845765
Corsair Dominator Titanium 32 GB,167.99,6000,10.0,30.0,2.0,16.0,5,32.0,35.71641169117209,0.1904875290195845
Silicon Power XPOWER Turbine 16 GB,32.97,3200,10.0,16.0,2.0,8.0,4,16.0,97.05793145283592,0.48528965726417955
Corsair Vengeance LPX 8 GB,24.99,2400,13.333,16.0,1.0,8.0,4,8.0,96.03841536614647,0.3201280512204882
Crucial Pro 32 GB,103.87,5600,16.429,46.0,2.0,16.0,5,32.0,53.913545778376815,0.3080774044478675
G.Skill Trident Z5 RGB 64 GB,217.99,6400,10.0,32.0,2.0,32.0,5,64.0,29.359144914904352,0.2935914491490435
Kingston FURY Beast 8 GB,23.98,3200,10.0,16.0,1.0,8.0,4,8.0,133.4445371142619,0.3336113427856547
Corsair Vengeance LPX 16 GB,44.99,3200,10.0,16.0,2.0,8.0,4,16.0,71.12691709268726,0.3556345854634363
G.Skill Trident Z Neo 32 GB,89.99,3600,8.889,16.0,2.0,16.0,4,32.0,40.004444938326486,0.35559506611845765
TEAMGROUP T-Force Delta RGB 32 GB,99.99,6400,12.5,40.0,2.0,16.0,5,32.0,64.00640064006402,0.32003200320032005
G.Skill Ripjaws S5 32 GB,109.99,6000,10.0,30.0,2.0,16.0,5,32.0,54.55041367397036,0.29093553959450863
G.Skill Ripjaws S5 32 GB,105.99,5600,10.0,28.0,2.0,16.0,5,32.0,52.83517312954053,0.30191527502594584
TEAMGROUP T-Force Delta RGB 32 GB,104.99,6000,12.667,38.0,2.0,16.0,5,32.0,57.14829983807982,0.304790932469759
G.Skill Ripjaws S5 64 GB,197.99,6000,10.0,30.0,2.0,32.0,5,64.0,30.304560836405877,0.3232486489216627
Crucial CT16G48C40U5 16 GB,44.0,4800,16.667,40.0,1.0,16.0,5,16.0,109.0909090909091,0.36363636363636365
G.Skill Aegis 16 GB,42.68,3200,10.0,16.0,2.0,8.0,4,16.0,74.97656982193065,0.37488284910965325
Lexar Ares RGB 32 GB,114.99,6400,10.0,32.0,2.0,16.0,5,32.0,55.65701365336116,0.2782850682668058
Corsair Vengeance 64 GB,247.99,6800,9.412,32.0,2.0,32.0,5,64.0,27.420460502439614,0.25807492237590224
TEAMGROUP T-Create Classic 32 GB,87.99,6000,16.0,48.0,2.0,16.0,5,32.0,68.18956699624958,0.36367769064666444
TEAMGROUP T-Force Delta RGB 32 GB,99.99,6400,12.5,40.0,2.0,16.0,5,32.0,64.00640064006402,0.32003200320032005
G.Skill Trident Z RGB 64 GB,139.99,3600,10.0,18.0,2.0,32.0,4,64.0,25.716122580184297,0.4571755125366097
Corsair Vengeance RGB Pro 32 GB,92.99,3200,10.0,16.0,2.0,16.0,4,32.0,34.41230239810732,0.34412302398107325
Corsair Dominator Platinum RGB 32 GB,174.99,6200,11.613,36.0,2.0,16.0,5,32.0,35.430596034059086,0.18286759243385337
G.Skill Ripjaws V 64 GB,3772.97,3400,9.412,16.0,4.0,16.0,4,64.0,0.9011468418778841,0.01696276408240723
Corsair Vengeance LPX 16 GB,45.99,3200,10.0,16.0,2.0,8.0,4,16.0,69.58034355294629,0.34790171776473144
G.Skill Trident Z5 Neo 32 GB,116.99,6000,10.0,30.0,2.0,16.0,5,32.0,51.2864347380118,0.27352765193606293
G.Skill Trident Z5 RGB 64 GB,259.99,6800,10.0,34.0,2.0,32.0,5,64.0,26.154852109696527,0.24616331397361435
Kingston FURY Beast 16 GB,75.99,6000,12.0,36.0,2.0,8.0,5,16.0,78.95775759968417,0.21055402026582445
TEAMGROUP Elite 32 GB,52.99,3200,13.75,22.0,2.0,16.0,4,32.0,60.388752594829214,0.6038875259482921
Kingston FURY Beast 16 GB,79.45,5600,12.857,36.0,2.0,8.0,5,16.0,70.48458149779735,0.20138451856513528
Patriot Viper Venom 32 GB,103.99,6400,10.0,32.0,2.0,16.0,5,32.0,61.54437926723724,0.3077218963361862
Corsair Vengeance RGB 32 GB,112.99,6400,11.25,36.0,2.0,16.0,5,32.0,56.64218072395788,0.2832109036197894
Corsair Vengeance 32 GB,97.99,4800,16.667,40.0,2.0,16.0,5,32.0,48.984590264312686,0.3265639350954179
Corsair Vengeance RGB 32 GB,109.99,5200,15.385,40.0,2.0,16.0,5,32.0,47.27702518410765,0.29093553959450863
Silicon Power XPOWER Turbine 32 GB,51.49,3200,10.0,16.0,2.0,16.0,4,32.0,62.147989900951636,0.6214798990095164
Corsair Vengeance RGB Pro 16 GB,52.99,3600,10.0,18.0,2.0,8.0,4,16.0,67.93734666918286,0.30194376297414605
G.Skill Ripjaws V 32 GB,67.99,3600,10.0,18.0,2.0,16.0,4,32.0,52.9489630828063,0.4706574496249449
G.Skill Ripjaws S5 32 GB,109.99,6400,10.0,32.0,2.0,16.0,5,32.0,58.187107918901724,0.29093553959450863
G.Skill Ripjaws S5 64 GB,194.99,5600,10.0,28.0,2.0,32.0,5,64.0,28.71942150879532,0.32822196010051796
TEAMGROUP T-Force Delta RGB 64 GB,184.99,6000,12.667,38.0,2.0,32.0,5,64.0,32.434185631655765,0.3459646467376615
G.Skill Trident Z5 RGB 48 GB,399.99,8400,9.524,40.0,2.0,24.0,5,48.0,21.000525013125326,0.12000300007500188
Corsair Dominator Titanium 64 GB,359.99,6400,10.0,32.0,4.0,16.0,5,64.0,17.778271618656074,0.17778271618656075
ADATA XPG Lancer Blade RGB 32 GB,148.03,6400,10.0,32.0,2.0,16.0,5,32.0,43.23447949739918,0.21617239748699588
Corsair Vengeance RGB 64 GB,227.99,6400,10.0,32.0,2.0,32.0,5,64.0,28.07140664064213,0.2807140664064213
G.Skill Trident Z5 Neo RGB 32 GB,124.99,6000,10.0,30.0,2.0,16.0,5,32.0,48.00384030722458,0.2560204816385311
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,3200,10.0,16.0,2.0,8.0,4,16.0,91.45470134324093,0.4572735067162046
Crucial Classic 16 GB,55.99,5600,16.429,46.0,2.0,8.0,5,16.0,100.01786033220218,0.28576531523486337
G.Skill Ripjaws V 32 GB,74.99,4000,9.0,18.0,2.0,16.0,4,32.0,53.34044539271903,0.42672356314175225
TEAMGROUP T-Create Expert 32 GB,94.99,6000,12.667,38.0,2.0,16.0,5,32.0,63.16454363617223,0.33687756605958524
Kingston HyperX Fury 8 GB,50.99,2666,12.003,16.0,1.0,8.0,4,8.0,52.28476171798392,0.15689350853108452
Corsair Vengeance 32 GB,124.99,6000,10.0,30.0,2.0,16.0,5,32.0,48.00384030722458,0.2560204816385311
Corsair Vengeance RGB 32 GB,135.99,6000,10.0,30.0,2.0,16.0,5,32.0,44.12089124200308,0.23531141995734978
KingBank SharpBlade 32 GB,86.99,6000,12.0,36.0,2.0,16.0,5,32.0,68.97344522358893,0.3678583745258076
