name,storage_price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_2
Samsung 980 Pro,169.99,2000.0,0.085,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Kingston NV2,60.99,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 970 Evo Plus,97.5,1000.0,0.098,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Samsung 990 Pro,318.35,4000.0,0.08,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Crucial P3 Plus,69.98,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 980 Pro,106.13,1000.0,0.106,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 990 Pro,169.99,2000.0,0.085,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Crucial P3 Plus,117.99,2000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Black SN850X,156.99,2000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Black SN850X,91.92,1000.0,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Kingston NV2,118.0,2000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Samsung 870 Evo,104.99,1000.0,0.105,SSD,1024.0,2.5,SATA 6.0 Gb/s,1.0 TB
Western Digital Black SN770,84.15,1000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP MP33,36.99,512.0,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Samsung 970 Evo Plus,69.94,500.0,0.14,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Crucial P3,60.99,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Samsung 990 Pro,110.08,1000.0,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Western Digital Blue SN580,71.0,1000.0,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Kingston NV2,42.99,500.0,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Western Digital Black SN770,138.82,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Black SN850X,309.99,4000.0,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Samsung 970 Evo Plus,149.99,2000.0,0.075,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Crucial P3 Plus,237.99,4000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Samsung 870 Evo,189.99,2000.0,0.095,SSD,2048.0,2.5,SATA 6.0 Gb/s,2.0 TB
Silicon Power UD90,108.99,2000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
TEAMGROUP MP44L,64.98,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Silicon Power A60,60.99,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
TEAMGROUP MP44L,114.99,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
TEAMGROUP MP33,61.99,1000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Western Digital Blue SN580,124.0,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
TEAMGROUP MP33,105.99,2000.0,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Samsung 980,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Crucial T500,138.99,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Crucial P3,51.6,500.0,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Samsung 990 Pro w/Heatsink,322.62,4000.0,0.081,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Samsung 870 Evo,79.98,500.0,0.16,SSD,512.0,2.5,SATA 6.0 Gb/s,500.0 GB
Kingston A400,27.99,240.0,0.117,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Samsung 980 Pro,89.99,500.0,0.18,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Crucial P3,123.99,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
SK Hynix Platinum P41,164.99,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Crucial T500,79.98,1000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
MSI SPATIUM M482,131.98,2000.0,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Samsung 870 Evo,372.99,4000.0,0.093,SSD,4096.0,2.5,SATA 6.0 Gb/s,4.0 TB
Lexar NM790,148.36,2000.0,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Lexar NM710,69.98,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
MSI SPATIUM M371,64.99,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Patriot P300,21.99,256.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0 GB
TEAMGROUP T-Force Vulcan Z,56.99,1000.0,0.057,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Crucial MX500,87.74,1000.0,0.088,SSD,1024.0,2.5,SATA 6.0 Gb/s,1.0 TB
Leven JS600,13.99,128.0,0.109,SSD,,2.5,SATA 6.0 Gb/s,128.0 GB
Crucial P3 Plus,54.49,500.0,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Western Digital Green SN350,64.98,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Patriot P300,36.99,512.0,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Lexar NM790,91.38,1000.0,0.091,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
